Nom Client,Matériau,Longueur,Pièces,Marge,Remise,Prix Total,Date
POPO,Fonte,100.0,2,2.0,0.0,138.375,2025-02-06
CLEMENT,Fonte,300.0,1,1.0,0.0,128.79,2025-02-06
CLEMENT,Fonte,300.0,1,1.0,0.0,128.79,2025-02-06
CLEMENT,Fonte,300.0,1,1.0,0.0,128.79,2025-02-06
EODJFIJ,Fonte,300.0,2,1.0,0.0,238.062,2025-02-06
POO,Titane,100.0,2,1.0,0.0,69.156,2025-02-06
POPO,Fonte,300.0,2,1.0,0.0,238.062,2025-02-06
POPO,Fonte,100.0,2,1.0,0.0,92.25,2025-02-06
POPO,Fonte,300.0,1,20.0,0.0,1352.295,2025-02-06
POPO,Fonte,300.0,1,20.0,5.0,1346.295,2025-02-06
POPO,Fonte,300.0,2,0.0,0.0,119.031,2025-02-06
POPO,Fonte,300.0,2,0.0,0.0,119.031,2025-02-06
POPO,"[{""Mat\u00e9riau"": ""Acier"", ""Longueur"": 300.0, ""Pi\u00e8ces"": 2, ""Marge"": 0.0, ""Remise"": 1.0, ""Prix Total"": 45.831}, {""Mat\u00e9riau"": ""Fonte"", ""Longueur"": 500.0, ""Pi\u00e8ces"": 8, ""Marge"": 0.0, ""Remise"": 1.0, ""Prix Total"": 734.553}, {""Mat\u00e9riau"": ""Cuivre"", ""Longueur"": 900.0, ""Pi\u00e8ces"": 9, ""Marge"": 0.0, ""Remise"": 1.0, ""Prix Total"": 501.254}]",1281.638,2025-02-06
POPO,"[{""Mat\u00e9riau"": ""Acier"", ""Longueur"": 300.0, ""Pi\u00e8ces"": 2, ""Marge"": 0.0, ""Remise"": 1.0, ""Prix Total"": 45.831}, {""Mat\u00e9riau"": ""Fonte"", ""Longueur"": 500.0, ""Pi\u00e8ces"": 8, ""Marge"": 0.0, ""Remise"": 1.0, ""Prix Total"": 734.553}, {""Mat\u00e9riau"": ""Cuivre"", ""Longueur"": 900.0, ""Pi\u00e8ces"": 9, ""Marge"": 0.0, ""Remise"": 1.0, ""Prix Total"": 501.254}]",1281.638,2025-02-06
POPO,"[{""Mat\u00e9riau"": ""Acier"", ""Longueur"": 300.0, ""Pi\u00e8ces"": 2, ""Marge"": 0.0, ""Remise"": 1.0, ""Prix Total"": 45.831}, {""Mat\u00e9riau"": ""Fonte"", ""Longueur"": 500.0, ""Pi\u00e8ces"": 8, ""Marge"": 0.0, ""Remise"": 1.0, ""Prix Total"": 734.553}, {""Mat\u00e9riau"": ""Cuivre"", ""Longueur"": 900.0, ""Pi\u00e8ces"": 9, ""Marge"": 0.0, ""Remise"": 1.0, ""Prix Total"": 501.254}]",1281.638,2025-02-06
POPO,"[{""Mat\u00e9riau"": ""Fonte"", ""Longueur"": 500.0, ""Pi\u00e8ces"": 2, ""Marge"": 0.0, ""Remise"": 0.0, ""Prix Total"": 191.937}, {""Mat\u00e9riau"": ""Acier"", ""Longueur"": 900.0, ""Pi\u00e8ces"": 5, ""Marge"": 0.0, ""Remise"": 0.0, ""Prix Total"": 285.657}, {""Mat\u00e9riau"": ""Inox"", ""Longueur"": 900.0, ""Pi\u00e8ces"": 10, ""Marge"": 0.0, ""Remise"": 2.0, ""Prix Total"": 558.184}]",1035.778,2025-02-06
POPO,"[{""Mat\u00e9riau"": ""Fonte"", ""Longueur"": 500.0, ""Pi\u00e8ces"": 2, ""Marge"": 0.0, ""Remise"": 0.0, ""Prix Total"": 191.937}, {""Mat\u00e9riau"": ""Acier"", ""Longueur"": 900.0, ""Pi\u00e8ces"": 5, ""Marge"": 0.0, ""Remise"": 0.0, ""Prix Total"": 285.657}, {""Mat\u00e9riau"": ""Inox"", ""Longueur"": 900.0, ""Pi\u00e8ces"": 10, ""Marge"": 0.0, ""Remise"": 2.0, ""Prix Total"": 558.184}]",1035.778,2025-02-06
POPO,"[{""Mat\u00e9riau"": ""Fonte"", ""Longueur"": 500.0, ""Pi\u00e8ces"": 2, ""Marge"": 0.0, ""Remise"": 0.0, ""Prix Total"": 191.937}, {""Mat\u00e9riau"": ""Acier"", ""Longueur"": 900.0, ""Pi\u00e8ces"": 5, ""Marge"": 0.0, ""Remise"": 0.0, ""Prix Total"": 285.657}, {""Mat\u00e9riau"": ""Inox"", ""Longueur"": 900.0, ""Pi\u00e8ces"": 10, ""Marge"": 0.0, ""Remise"": 2.0, ""Prix Total"": 558.184}]",1035.778,2025-02-06
POPO,"[{""Mat\u00e9riau"": ""Fonte"", ""Longueur"": 500.0, ""Pi\u00e8ces"": 2, ""Marge"": 0.0, ""Remise"": 0.0, ""Prix Total"": 191.937}, {""Mat\u00e9riau"": ""Acier"", ""Longueur"": 900.0, ""Pi\u00e8ces"": 5, ""Marge"": 0.0, ""Remise"": 0.0, ""Prix Total"": 285.657}, {""Mat\u00e9riau"": ""Inox"", ""Longueur"": 900.0, ""Pi\u00e8ces"": 10, ""Marge"": 0.0, ""Remise"": 2.0, ""Prix Total"": 558.184}]",1035.778,2025-02-06
POPO,"[{""Mat\u00e9riau"": ""Fonte"", ""Longueur"": 500.0, ""Pi\u00e8ces"": 2, ""Marge"": 0.0, ""Remise"": 0.0, ""Prix Total"": 191.937}, {""Mat\u00e9riau"": ""Acier"", ""Longueur"": 900.0, ""Pi\u00e8ces"": 5, ""Marge"": 0.0, ""Remise"": 0.0, ""Prix Total"": 285.657}, {""Mat\u00e9riau"": ""Inox"", ""Longueur"": 900.0, ""Pi\u00e8ces"": 10, ""Marge"": 0.0, ""Remise"": 2.0, ""Prix Total"": 558.184}]",1035.778,2025-02-06
POPO,"[{""Mat\u00e9riau"": ""Fonte"", ""Longueur"": 500.0, ""Pi\u00e8ces"": 2, ""Marge"": 0.0, ""Remise"": 0.0, ""Prix Total"": 191.937}, {""Mat\u00e9riau"": ""Acier"", ""Longueur"": 900.0, ""Pi\u00e8ces"": 5, ""Marge"": 0.0, ""Remise"": 0.0, ""Prix Total"": 285.657}, {""Mat\u00e9riau"": ""Inox"", ""Longueur"": 900.0, ""Pi\u00e8ces"": 10, ""Marge"": 0.0, ""Remise"": 2.0, ""Prix Total"": 558.184}]",1035.778,2025-02-06
POPO,"[{""Mat\u00e9riau"": ""Fonte"", ""Longueur"": 500.0, ""Pi\u00e8ces"": 2, ""Marge"": 0.0, ""Remise"": 0.0, ""Prix Total"": 191.937}, {""Mat\u00e9riau"": ""Acier"", ""Longueur"": 900.0, ""Pi\u00e8ces"": 5, ""Marge"": 0.0, ""Remise"": 0.0, ""Prix Total"": 285.657}, {""Mat\u00e9riau"": ""Inox"", ""Longueur"": 900.0, ""Pi\u00e8ces"": 10, ""Marge"": 0.0, ""Remise"": 2.0, ""Prix Total"": 558.184}]",1035.778,2025-02-06
